phone_name,MRP,offer_price
Karbonn Y1 Dual SIM Feature Phone Black Blue,"Rs. 1,190",Rs.  999
Karbonn KX3 Star Dual SIM Feature Phone Black Red,"Rs. 1,340",Rs.  999
Karbonn K9 YODHA Dual SIM Feature Phone White Gold,"Rs. 1,440","Rs.  1,149"
Karbonn Y1 Dual SIM Feature Phone Black Red,"Rs. 1,190",Rs.  999
Karbonn K531 Dual SIM Feature Phone Black Red,"Rs. 1,790","Rs.  1,325"
Karbonn k9 yuva Dual SIM Feature Phone Silver,"Rs. 1,490","Rs.  1,199"
Karbonn k9 yuva Dual SIM Feature Phone Black Gold,"Rs. 1,490","Rs.  1,199"
Karbonn k9 yuva Dual SIM Feature Phone Coffee,"Rs. 1,490","Rs.  1,249"
Karbonn K531 Dual SIM Feature Phone Blue,"Rs. 1,790","Rs.  1,325"
Karbonn Y1 Dual SIM Feature Phone White Grey,"Rs. 1,190",Rs.  949
Karbonn K531 Dual SIM Feature Phone White Red,"Rs. 1,790","Rs.  1,325"
Karbonn K9 YODHA Dual SIM Feature Phone Black Red,"Rs. 1,440","Rs.  1,149"
Karbonn k9 yuva Dual SIM Feature Phone Gold,"Rs. 1,490","Rs.  1,249"
Karbonn K531 Dual SIM Feature Phone Green,"Rs. 1,790","Rs.  1,325"
Karbonn Y1 Dual SIM Feature Phone Black Orange,"Rs. 1,190",Rs.  999
Karbonn K140 POP Dual SIM Feature Phone Black,"Rs. 1,190",Rs.  999
Karbonn k9 yuva Dual SIM Feature Phone Black Red,"Rs. 1,490","Rs.  1,199"
NBOX - Foldable Connectors for Smartphones ( Black ),Rs. 999,Rs.  329
itel Power440 Dual SIM Feature Phone Deep Blue,"Rs. 1,899","Rs.  1,549"
Karbonn KX29 Dual SIM Feature Phone Black Red,"Rs. 1,890","Rs.  1,499"
Karbonn KX3 Star Dual SIM Feature Phone Black Red,"Rs. 1,340",Rs.  999
Karbonn K9 YODHA Dual SIM Feature Phone Black Red,"Rs. 1,440","Rs.  1,149"
Karbonn K531 Dual SIM Feature Phone Blue,"Rs. 1,790","Rs.  1,325"
Karbonn K531 Dual SIM Feature Phone White Red,"Rs. 1,790","Rs.  1,325"
Karbonn Y1 Dual SIM Feature Phone White Grey,"Rs. 1,190",Rs.  949
Karbonn K531 Dual SIM Feature Phone Black Red,"Rs. 1,790","Rs.  1,325"
Karbonn K531 Dual SIM Feature Phone Green,"Rs. 1,790","Rs.  1,325"
Karbonn k9 yuva Dual SIM Feature Phone Black Gold,"Rs. 1,490","Rs.  1,199"
Karbonn k9 yuva Dual SIM Feature Phone Coffee,"Rs. 1,490","Rs.  1,249"
Karbonn K9 YODHA Dual SIM Feature Phone White Gold,"Rs. 1,440","Rs.  1,149"
Karbonn k9 yuva Dual SIM Feature Phone Silver,"Rs. 1,490","Rs.  1,199"
Karbonn k9 yuva Dual SIM Feature Phone Black Red,"Rs. 1,490","Rs.  1,199"
